Year,Units,Value
2015,Número de asentamientos ilegales,56
2016,Número de asentamientos ilegales,62
2017,Número de asentamientos ilegales,72
2018,Número de asentamientos ilegales,79
2019,Número de asentamientos ilegales,77
2020,Número de asentamientos ilegales,75
2021,Número de asentamientos ilegales,81
2022,Número de asentamientos ilegales,66
2023,Número de asentamientos ilegales,77
2024,Número de asentamientos ilegales,60
2017,Personas que viven en asentamientos ilegales,143
2018,Personas que viven en asentamientos ilegales,339
2019,Personas que viven en asentamientos ilegales,396
2020,Personas que viven en asentamientos ilegales,428
2021,Personas que viven en asentamientos ilegales,476
2022,Personas que viven en asentamientos ilegales,385
2023,Personas que viven en asentamientos ilegales,354
2024,Personas que viven en asentamientos ilegales,276
